FRONTIER,FRONTIER,ETAT CONGOLAIS,5.00%,N/A
FRONTIER,FRONTIER,ENRC CONGO BV,95.00%,N/C
MINING MINERAL RESOURCES (MMR),MMR,KALYAN LIMITED,40.00%,Mr. CHUG CHAITANYA (40%)
MINING MINERAL RESOURCES (MMR),MMR,SHUKRANA LIMITED,40.00%,Mr. DRHOLIA RAHIM (40%)
MINING MINERAL RESOURCES (MMR),MMR,PIRAN INVESTMENTS LTD,20.00%,Mr. CHAG HITESH BHURDHARBHAI (20%)
CONGO LOYAL WILL MINING,CLWM,,,N/C
GROUPEMENT DU TERRIL DE LUBUMBASHI,GTL,GECAMINES,20.00%,N/A
GROUPEMENT DU TERRIL DE LUBUMBASHI,GTL,OMG Kokkola Chemical Holding BV,55.00%,OMG Group (côtée en bourse)
GROUPEMENT DU TERRIL DE LUBUMBASHI,GTL,GGF,25.00%,MR Forrest
VOLCANO MINING,VOLCANO,,,Société en liquidation
SOCIETE DE TRAITEMENT DE TERRIL DE LUBUMBASHI,STL,GECAMINES,23.00%,N/A
SOCIETE DE TRAITEMENT DE TERRIL DE LUBUMBASHI,STL,GTL Ltd,48.00%,"55% OMG KOKKOLA CHEMICAL HOLDING
25% GGF
20% GECAMINES"
SOCIETE DE TRAITEMENT DE TERRIL DE LUBUMBASHI,STL,G.F.I.A SPRL,27.00%,Mr Forrest directement et indirectement
SOCIETE DE TRAITEMENT DE TERRIL DE LUBUMBASHI,STL,GROUPE G FORREST,1.00%,Mr Forrest directement et indirectement
SOCIETE DE TRAITEMENT DE TERRIL DE LUBUMBASHI,STL,OMG/BV (OM GROUP),1.00%,OM GROUP
CONGO INTERNATIONAL MINING CORPORATION SPRL,CIMCO,"CHINA RAILWAY RESOURCES UNIVERSAL
Limited",51.00%,N/C
CONGO INTERNATIONAL MINING CORPORATION SPRL,CIMCO,EARING SOURCE INVESTMENT LIMITED,49.00%,N/A
HUACHIN METAL LEACH SPRL,,SINO METAL LEACH,62.50%,N/C
HUACHIN METAL LEACH SPRL,,HUACHIN Sprl,37.50%,N/A
RUBAMIN,,Rubamin FZC,80.00%,"Mr. Atul N. Dalmia (9% de droits de votes directs et 19.39% de droits de votes indirects)
Mr. Anil R. Patel (9% de droits de votes directs et 13.88% de droits de votes indirects)
Mr. Navin M. Dalmia (2% de droits de votes directs et 8% de droits de votes indirects)
Mrs. Seema Atul Dalmia (7.04% de droits de votes indirects) Mrs. Mita Anil Patel (6.01% de droits de votes indirects)
Mr. Hetav Anil Patel (4.59% de droits de votes indirects) Mrs. Gyan Nandkishore Dalmia (3.85% de droits de votes indirects)
Autres ((3.38% de droits de votes indirects)"
RUBAMIN,,Atul N. Dalmia,9.00%,N/A
RUBAMIN,,Anil R Patel,9.00%,N/A
RUBAMIN,,Navin M. Dalmia,2.00%,N/A
HUACHIN MINING SPRL,,NG SIUKAM,50.00%,NG SIUKAM à 50%
HUACHIN MINING SPRL,,PAN DING JI,45.00%,PAN DING JI à 45%
HUACHIN MINING SPRL,,CHEBIB MOUKACHAR,5.00%,CHEBIB MOUKACHAR à 5%
METAL MINES,,YANG YANG,70.00%,YANG YANG (70%)
METAL MINES,,BANZA MALOBA,25.00%,BANZA MALOBA (25%)
METAL MINES,,ZHAO YONG,5.00%,ZHAO YONG (5%)
SOCIETE GOLDEN AFRICA RESSOURCES SPRL,GAR,INLAND GLOBAL Ltd,45.00%,N/A
